GPU: NVIDIA A100-SXM4-40GB
Compute capability: 8.0
Cubin: variants/queue_N01.cubin
Samples: 101
Clock delta: min=27 median=27 max=27 cycles
Expected lane-0 result: 10000
Result counts:
  31810 (0x00007c42) : 51/101
  1585358401 (0x5e7ea641) : 1/101
  1585433587 (0x5e7fcbf3) : 1/101
  1585503235 (0x5e80dc03) : 1/101
  1585573275 (0x5e81ed9b) : 1/101
  1585643373 (0x5e82ff6d) : 1/101
  1585712579 (0x5e840dc3) : 1/101
  1585783023 (0x5e8520ef) : 1/101
  1585854265 (0x5e863739) : 1/101
  1923597669 (0x72a7c565) : 1/101
  1923667841 (0x72a8d781) : 1/101
  1923736819 (0x72a9e4f3) : 1/101
  1923808285 (0x72aafc1d) : 1/101
  1923877473 (0x72ac0a61) : 1/101
  1923953749 (0x72ad3455) : 1/101
  1924030623 (0x72ae609f) : 1/101
  1924106871 (0x72af8a77) : 1/101
  1924183409 (0x72b0b571) : 1/101
  1924259523 (0x72b1dec3) : 1/101
  1924335747 (0x72b30883) : 1/101
  1924411899 (0x72b431fb) : 1/101
  3830681016 (0xe4538db8) : 1/101
  3830832492 (0xe455dd6c) : 1/101
  3830978396 (0xe458175c) : 1/101
  3831124510 (0xe45a521e) : 1/101
  3831267298 (0xe45c7fe2) : 1/101
  3831406982 (0xe45ea186) : 1/101
  3831547448 (0xe460c638) : 1/101
  3831689032 (0xe462ef48) : 1/101
  3831829618 (0xe4651472) : 1/101
  3831969688 (0xe4673798) : 1/101
  3832111026 (0xe4695fb2) : 1/101
  3832253040 (0xe46b8a70) : 1/101
  3832392768 (0xe46dac40) : 1/101
  3832539378 (0xe46fe8f2) : 1/101
  3832686238 (0xe472269e) : 1/101
  3832832602 (0xe474625a) : 1/101
  3832979610 (0xe476a09a) : 1/101
  3833126670 (0xe478df0e) : 1/101
  3833272784 (0xe47b19d0) : 1/101
  3833418834 (0xe47d5452) : 1/101
  4154432086 (0xf79f9a56) : 1/101
  4154578628 (0xf7a1d6c4) : 1/101
  4154724730 (0xf7a4117a) : 1/101
  4154870878 (0xf7a64c5e) : 1/101
  4155014388 (0xf7a87cf4) : 1/101
  4155155052 (0xf7aaa26c) : 1/101
  4155294706 (0xf7acc3f2) : 1/101
  4155436700 (0xf7aeee9c) : 1/101
  4155577934 (0xf7b1164e) : 1/101
  4155717774 (0xf7b3388e) : 1/101
Classification: correct=0 incorrect=101
