GPU: NVIDIA A100-SXM4-40GB
Compute capability: 8.0
Cubin: variants/queue_N03.cubin
Samples: 101
Clock delta: min=27 median=27 max=27 cycles
Expected lane-0 result: 10000
Result counts:
  3000 (0x00000bb8) : 12/101
  1003583419 (0x3bd177bb) : 1/101
  1003653069 (0x3bd287cd) : 1/101
  1003722377 (0x3bd39689) : 1/101
  1003791439 (0x3bd4a44f) : 1/101
  1003861887 (0x3bd5b77f) : 1/101
  1003932061 (0x3bd6c99d) : 1/101
  1004001919 (0x3bd7da7f) : 1/101
  1004073101 (0x3bd8f08d) : 1/101
  1004142925 (0x3bda014d) : 1/101
  1004211695 (0x3bdb0def) : 1/101
  1004281743 (0x3bdc1f8f) : 1/101
  1004352137 (0x3bdd3289) : 1/101
  1990648730 (0x76a6e39a) : 1/101
  1990802806 (0x76a93d76) : 1/101
  1990943956 (0x76ab64d4) : 1/101
  1991086882 (0x76ad9322) : 1/101
  1991226608 (0x76afb4f0) : 1/101
  1991366388 (0x76b1d6f4) : 1/101
  1991507330 (0x76b3fd82) : 1/101
  1991648798 (0x76b6261e) : 1/101
  1991787616 (0x76b84460) : 1/101
  1991927028 (0x76ba64f4) : 1/101
  1992065512 (0x76bc81e8) : 1/101
  1992205050 (0x76bea2fa) : 1/101
  1992344190 (0x76c0c27e) : 1/101
  1992485894 (0x76c2ec06) : 1/101
  1992625252 (0x76c50c64) : 1/101
  1992766514 (0x76c73432) : 1/101
  1992906406 (0x76c956a6) : 1/101
  1993044856 (0x76cb7378) : 1/101
  1993184384 (0x76cd9480) : 1/101
  1993325186 (0x76cfba82) : 1/101
  3052527618 (0xb5f1e002) : 1/101
  3052667330 (0xb5f401c2) : 1/101
  3052807274 (0xb5f6246a) : 1/101
  3052950300 (0xb5f8531c) : 1/101
  3053090054 (0xb5fa7506) : 1/101
  3053229940 (0xb5fc9774) : 1/101
  3053372698 (0xb5fec51a) : 1/101
  3053513356 (0xb600ea8c) : 1/101
  3053651774 (0xb603073e) : 1/101
  3053792332 (0xb6052c4c) : 1/101
  3053932610 (0xb6075042) : 1/101
  3054073698 (0xb6097762) : 1/101
  3054211528 (0xb60b91c8) : 1/101
  3054352910 (0xb60dba0e) : 1/101
  3054491026 (0xb60fd592) : 1/101
  3054631776 (0xb611fb60) : 1/101
  3054771252 (0xb6141c34) : 1/101
  3054910956 (0xb6163dec) : 1/101
  3055048942 (0xb61858ee) : 1/101
  3055189422 (0xb61a7dae) : 1/101
  3055328968 (0xb61c9ec8) : 1/101
  3055468558 (0xb61ec00e) : 1/101
  3055608596 (0xb620e314) : 1/101
  3055749300 (0xb62308b4) : 1/101
  3055888480 (0xb6252860) : 1/101
  3056027928 (0xb6274918) : 1/101
  3056169456 (0xb62971f0) : 1/101
  3056310226 (0xb62b97d2) : 1/101
  3056452272 (0xb62dc2b0) : 1/101
  3056595714 (0xb62ff302) : 1/101
  3056736498 (0xb63218f2) : 1/101
  3056884428 (0xb6345acc) : 1/101
  3057029472 (0xb6369160) : 1/101
  3057175450 (0xb638cb9a) : 1/101
  3057320042 (0xb63b006a) : 1/101
  3057467254 (0xb63d3f76) : 1/101
  3057612788 (0xb63f77f4) : 1/101
  3057758644 (0xb641b1b4) : 1/101
  3057903120 (0xb643e610) : 1/101
  3058050006 (0xb64623d6) : 1/101
  3058195952 (0xb6485df0) : 1/101
  3058341500 (0xb64a967c) : 1/101
  3058488130 (0xb64cd342) : 1/101
  3058635014 (0xb64f1106) : 1/101
  3058774808 (0xb6513318) : 1/101
  3058913756 (0xb65351dc) : 1/101
  3059052600 (0xb6557038) : 1/101
  3059193752 (0xb6579798) : 1/101
  3059336348 (0xb659c49c) : 1/101
  4222133999 (0xfba8a6ef) : 1/101
  4222218101 (0xfba9ef75) : 1/101
  4222288933 (0xfbab0425) : 1/101
  4222359363 (0xfbac1743) : 1/101
  4222428935 (0xfbad2707) : 1/101
  4222498601 (0xfbae3729) : 1/101
  4222568435 (0xfbaf47f3) : 1/101
  4222639255 (0xfbb05c97) : 1/101
Classification: correct=0 incorrect=101
